date_id,price,in_stock,on_sale,sku,product_name,list_price,brand_name,category,subcategory
2026-05-31,401.79,1,0,GLF-1001,Cobra Driver Tour,423.47,Cobra,Clubs,Drivers
2026-05-31,215.37,1,0,GLF-1002,Wilson Hybrid ST,210.43,Wilson,Clubs,Hybrids
2026-05-31,392.2,1,0,GLF-1003,Callaway Driver X,415.59,Callaway,Clubs,Drivers
2026-05-31,246.51,1,0,GLF-1004,Wilson Rangefinder Elite,259.65,Wilson,Accessories,Rangefinders
2026-05-31,49.85,1,0,GLF-1005,Ping Umbrella Max,47.97,Ping,Accessories,Umbrellas
2026-05-31,957.21,1,0,GLF-1006,Srixon Iron Tour,938.18,Srixon,Clubs,Irons
2026-05-31,18.97,1,1,GLF-1007,Callaway Distance Ball Pro,25.93,Callaway,Balls,Distance Balls
2026-05-31,203.13,0,0,GLF-1008,Bridgestone Stand Bag Pro,211.74,Bridgestone,Bags,Stand Bags
2026-05-31,58.88,1,0,GLF-1009,Srixon Polo Max,58.15,Srixon,Apparel,Polos
2026-05-31,16.95,1,0,GLF-1010,Bridgestone Towel Pro,17.88,Bridgestone,Accessories,Towels
2026-05-31,292.98,1,0,GLF-1011,Ping Hybrid Pro,292.77,Ping,Clubs,Hybrids
2026-05-31,30.88,1,1,GLF-1012,Srixon Tour Ball Elite,44.17,Srixon,Balls,Tour Balls
2026-05-31,201.41,1,1,GLF-1013,Mizuno Cart Bag Elite,253.29,Mizuno,Bags,Cart Bags
2026-05-31,198.79,1,0,GLF-1014,Callaway Travel Bag Tour,199.19,Callaway,Bags,Travel Bags
2026-05-31,7.75,1,0,GLF-1015,TaylorMade Tee Max,8.24,TaylorMade,Accessories,Tees
2026-05-31,10.66,1,0,GLF-1016,Mizuno Tee Pro,10.9,Mizuno,Accessories,Tees
2026-05-31,46.54,1,0,GLF-1017,Mizuno Tour Ball Pro,46.02,Mizuno,Balls,Tour Balls
2026-05-31,15.66,1,0,GLF-1018,Mizuno Value Ball ST,16.49,Mizuno,Balls,Value Balls
2026-05-31,19.97,1,0,GLF-1019,TaylorMade Glove Tour,21.18,TaylorMade,Apparel,Gloves
2026-05-31,20.26,1,0,GLF-1020,Bridgestone Towel X,21.43,Bridgestone,Accessories,Towels
2026-05-31,39.43,1,0,GLF-1021,Ping Headwear Tour,39.96,Ping,Apparel,Headwear
2026-05-31,57.69,1,0,GLF-1022,Callaway Umbrella Pro,60.23,Callaway,Accessories,Umbrellas
2026-05-31,13.75,0,1,GLF-1023,TaylorMade Value Ball ST,20.54,TaylorMade,Balls,Value Balls
2026-05-31,257.81,1,1,GLF-1024,Srixon Rangefinder ST,314.49,Srixon,Accessories,Rangefinders
2026-05-31,28.13,0,0,GLF-1025,Wilson Towel Pro,27.91,Wilson,Accessories,Towels
2026-05-31,295.93,1,0,GLF-1026,Wilson Hybrid Elite,290.11,Wilson,Clubs,Hybrids
2026-05-31,266.07,1,0,GLF-1027,Cobra Cart Bag ST,265.21,Cobra,Bags,Cart Bags
2026-05-31,327.07,1,0,GLF-1028,Cobra Hybrid Tour,316.63,Cobra,Clubs,Hybrids
2026-05-31,434.83,1,0,GLF-1029,Cobra Rangefinder X,452.5,Cobra,Accessories,Rangefinders
